method;numIt;instanceSize;avgNumOp;avgTime;avgMem;
Dynamic Programming;5;500;449051.000000;0.207821;747.200000;
Dynamic Programming;5;1000;968918.000000;1.706643;1910.400000;
Dynamic Programming;5;1500;1482020.000000;6.106794;3849.600000;
Dynamic Programming;5;2000;1794646.000000;16.423101;6609.600000;
Dynamic Programming;5;2500;2353199.000000;37.317425;10132.800000;
Dynamic Programming;5;3000;2968172.000000;65.168009;14409.600000;
Dynamic Programming;5;3500;3375662.000000;98.422462;19531.200000;
Dynamic Programming;5;4000;3872631.000000;170.011604;25393.600000;
Dynamic Programming;5;4500;4182923.000000;247.157481;32044.800000;
Dynamic Programming;5;5000;4764496.000000;342.409277;39436.800000;
